,Data_Source,Camera_Count,geometry,x,y
3073,Amnesty,3,POINT (-73.97445029583832 40.68630853938321),-73.97445029583832,40.68630853938321
3074,Amnesty,2,POINT (-73.95228812021976 40.59251668235163),-73.95228812021976,40.59251668235163
3075,Amnesty,1,POINT (-73.95593024118723 40.58262434473711),-73.95593024118723,40.58262434473711
3076,Amnesty,1,POINT (-73.95011452786864 40.65627821978305),-73.95011452786864,40.65627821978305
3077,Amnesty,2,POINT (-73.98621795024036 40.640591660600315),-73.98621795024036,40.640591660600315
3078,Amnesty,1,POINT (-73.9688917848544 40.58851444955044),-73.9688917848544,40.58851444955044
3079,Amnesty,1,POINT (-73.92934624525202 40.64213992241904),-73.92934624525202,40.64213992241904
3080,Amnesty,5,POINT (-73.95173150986949 40.64431257508237),-73.95173150986949,40.64431257508237
3081,Amnesty,1,POINT (-73.9362546232054 40.67347892165701),-73.9362546232054,40.67347892165701
3082,Amnesty,2,POINT (-73.99586092587218 40.641776787214),-73.99586092587218,40.641776787214
3083,Amnesty,5,POINT (-73.93672985451485 40.6978614707956),-73.93672985451485,40.6978614707956
3084,Amnesty,2,POINT (-73.92618504686519 40.639548204448815),-73.92618504686519,40.639548204448815
3085,Amnesty,6,POINT (-73.93113402932511 40.66782979697225),-73.93113402932511,40.66782979697225
3086,Amnesty,1,POINT (-73.92271360279064 40.6168383810794),-73.92271360279064,40.6168383810794
3087,Amnesty,2,POINT (-73.97437674303043 40.587177487557376),-73.97437674303043,40.587177487557376
3088,Amnesty,2,POINT (-73.93611464014438 40.64171054616472),-73.93611464014438,40.64171054616472
3089,Amnesty,2,POINT (-73.92388403280088 40.712480133943),-73.92388403280088,40.712480133943
3090,Amnesty,3,POINT (-73.93767139674759 40.598728248314345),-73.93767139674759,40.598728248314345
3091,Amnesty,3,POINT (-73.92964493103037 40.695861393625734),-73.92964493103037,40.695861393625734
3092,Amnesty,1,POINT (-73.94520277908525 40.68984315499536),-73.94520277908525,40.68984315499536
3093,Amnesty,4,POINT (-73.99090912743956 40.678105492006864),-73.99090912743956,40.678105492006864
3094,Amnesty,2,POINT (-73.91821193841761 40.65682577498736),-73.91821193841761,40.65682577498736
3095,Amnesty,1,POINT (-73.93086439619583 40.671476070393496),-73.93086439619583,40.671476070393496
3096,Amnesty,1,POINT (-73.9358222311367 40.59903608120977),-73.9358222311367,40.59903608120977
3097,Amnesty,3,POINT (-74.0074995 40.630571100000004),-74.0074995,40.630571100000004
3098,Amnesty,3,POINT (-73.99126835015315 40.597622084279806),-73.99126835015315,40.597622084279806
3099,Amnesty,2,POINT (-73.98500503408552 40.60568629583475),-73.98500503408552,40.60568629583475
3100,Amnesty,2,POINT (-73.94844717110927 40.6323407200514),-73.94844717110927,40.6323407200514
3101,Amnesty,3,POINT (-73.91940509056433 40.70187279149658),-73.91940509056433,40.70187279149658
3102,Amnesty,15,POINT (-73.92289228937331 40.69223646327968),-73.92289228937331,40.69223646327968
3103,Amnesty,1,POINT (-73.90718007009727 40.678638507878226),-73.90718007009727,40.678638507878226
3104,Amnesty,2,POINT (-73.95076988735678 40.70885061425876),-73.95076988735678,40.70885061425876
3105,Amnesty,3,POINT (-73.9822122309935 40.69109560665086),-73.9822122309935,40.69109560665086
3106,Amnesty,2,POINT (-73.96754405808124 40.631867159262924),-73.96754405808124,40.631867159262924
3107,Amnesty,2,POINT (-73.99059509161845 40.67210537831642),-73.99059509161845,40.67210537831642
3108,Amnesty,1,POINT (-73.93902857046561 40.72614253793357),-73.93902857046561,40.72614253793357
3109,Amnesty,2,POINT (-73.88991923691913 40.6637877675516),-73.88991923691913,40.6637877675516
3110,Amnesty,2,POINT (-73.8714903738027 40.66470693952381),-73.8714903738027,40.66470693952381
3111,Amnesty,3,POINT (-73.897913446658 40.66108572717854),-73.897913446658,40.66108572717854
3112,Amnesty,1,POINT (-73.96661181808292 40.627010400681925),-73.96661181808292,40.627010400681925
3113,Amnesty,1,POINT (-73.87362869041189 40.68123274666279),-73.87362869041189,40.68123274666279
3114,Amnesty,1,POINT (-73.92208003553604 40.61929960501246),-73.92208003553604,40.61929960501246
3115,Amnesty,2,POINT (-73.92914566481973 40.65837892267062),-73.92914566481973,40.65837892267062
3116,Amnesty,2,POINT (-73.9242388920088 40.69442817240554),-73.9242388920088,40.69442817240554
3117,Amnesty,1,POINT (-73.97291715217833 40.63861568163503),-73.97291715217833,40.63861568163503
3118,Amnesty,2,POINT (-73.96060071241854 40.68219500047437),-73.96060071241854,40.68219500047437
3119,Amnesty,1,POINT (-73.94650990735289 40.70697693368556),-73.94650990735289,40.70697693368556
3120,Amnesty,5,POINT (-73.88451523457266 40.65908978306675),-73.88451523457266,40.65908978306675
3121,Amnesty,1,POINT (-73.88110934441725 40.68112656906337),-73.88110934441725,40.68112656906337
3122,Amnesty,2,POINT (-73.94083160288538 40.58942822596743),-73.94083160288538,40.58942822596743
3123,Amnesty,1,POINT (-74.0038679 40.58029280000001),-74.0038679,40.58029280000001
3124,Amnesty,2,POINT (-73.91452003657642 40.68524730050653),-73.91452003657642,40.68524730050653
3125,Amnesty,7,POINT (-73.96265394049945 40.64204393270767),-73.96265394049945,40.64204393270767
3126,Amnesty,4,POINT (-73.94806156511395 40.63157120065005),-73.94806156511395,40.63157120065005
3127,Amnesty,2,POINT (-73.94385129926138 40.711654176728345),-73.94385129926138,40.711654176728345
3128,Amnesty,1,POINT (-73.9878379 40.69053120000002),-73.9878379,40.69053120000002
3129,Amnesty,1,POINT (-73.98577093153754 40.60522374608534),-73.98577093153754,40.60522374608534
3130,Amnesty,3,POINT (-73.93541545897673 40.65350824018365),-73.93541545897673,40.65350824018365
3131,Amnesty,1,POINT (-73.90735727318724 40.652871443490675),-73.90735727318724,40.652871443490675
3132,Amnesty,1,POINT (-73.95980547751859 40.63727677362507),-73.95980547751859,40.63727677362507
3133,Amnesty,1,POINT (-73.96336064625294 40.63557664336416),-73.96336064625294,40.63557664336416
3134,Amnesty,1,POINT (-73.9547456500627 40.706952385595876),-73.9547456500627,40.706952385595876
3135,Amnesty,2,POINT (-74.01247275386966 40.646407701525774),-74.01247275386966,40.646407701525774
3136,Amnesty,2,POINT (-73.9623601366855 40.699771874078024),-73.9623601366855,40.699771874078024
3137,Amnesty,6,POINT (-73.99902573699323 40.62160300550752),-73.99902573699323,40.62160300550752
3138,Amnesty,3,POINT (-73.9318326 40.5880777),-73.9318326,40.5880777
3139,Amnesty,2,POINT (-73.87481120600023 40.65762817066038),-73.87481120600023,40.65762817066038
3140,Amnesty,3,POINT (-74.00567063898956 40.63307910510187),-74.00567063898956,40.63307910510187
3141,Amnesty,2,POINT (-73.93744437799647 40.69522092718382),-73.93744437799647,40.69522092718382
3142,Amnesty,1,POINT (-73.87936228398124 40.67564457536563),-73.87936228398124,40.67564457536563
3143,Amnesty,2,POINT (-73.90963611587854 40.63223477034162),-73.90963611587854,40.63223477034162
3144,Amnesty,1,POINT (-73.98345843381904 40.58718626529096),-73.98345843381904,40.58718626529096
3145,Amnesty,1,POINT (-73.97823108924851 40.686880471221706),-73.97823108924851,40.686880471221706
3146,Amnesty,1,POINT (-73.97316143723407 40.608973780759094),-73.97316143723407,40.608973780759094
3147,Amnesty,1,POINT (-73.95093247150363 40.59044090318265),-73.95093247150363,40.59044090318265
3148,Amnesty,1,POINT (-73.92399337902128 40.70832957562429),-73.92399337902128,40.70832957562429
3149,Amnesty,2,POINT (-74.0402952048258 40.62252549228765),-74.0402952048258,40.62252549228765
3150,Amnesty,1,POINT (-73.96371372910905 40.692097983756454),-73.96371372910905,40.692097983756454
3151,Amnesty,1,POINT (-73.9974863071959 40.643664958988836),-73.9974863071959,40.643664958988836
3152,Amnesty,4,POINT (-73.93604710454167 40.632326914184304),-73.93604710454167,40.632326914184304
3153,Amnesty,1,POINT (-73.90027744511332 40.65906533530463),-73.90027744511332,40.65906533530463
3154,Amnesty,4,POINT (-73.98178475205977 40.693606276598885),-73.98178475205977,40.693606276598885
3155,Amnesty,1,POINT (-73.99299771088295 40.592371751184196),-73.99299771088295,40.592371751184196
3156,Amnesty,2,POINT (-73.94961861169931 40.67963778201991),-73.94961861169931,40.67963778201991
3157,Amnesty,1,POINT (-73.88847164398054 40.665595679227046),-73.88847164398054,40.665595679227046
3158,Amnesty,1,POINT (-73.93448521672337 40.66351606194393),-73.93448521672337,40.66351606194393
3159,Amnesty,2,POINT (-73.94408937854662 40.71237430996395),-73.94408937854662,40.71237430996395
3160,Amnesty,3,POINT (-73.98650561990038 40.67266423784561),-73.98650561990038,40.67266423784561
3161,Amnesty,4,POINT (-73.99477055810132 40.625448912259394),-73.99477055810132,40.625448912259394
3162,Amnesty,1,POINT (-74.00506962324394 40.65658315261649),-74.00506962324394,40.65658315261649
3163,Amnesty,2,POINT (-73.99688762340737 40.670901926337386),-73.99688762340737,40.670901926337386
3164,Amnesty,3,POINT (-73.93456517788783 40.712758336892804),-73.93456517788783,40.712758336892804
3165,Amnesty,1,POINT (-74.00359845468256 40.63089525820124),-74.00359845468256,40.63089525820124
3166,Amnesty,1,POINT (-73.9640697708569 40.63930683173938),-73.9640697708569,40.63930683173938
3167,Amnesty,1,POINT (-73.99343325348308 40.70336073595519),-73.99343325348308,40.70336073595519
3168,Amnesty,2,POINT (-73.91480655707589 40.66655254044339),-73.91480655707589,40.66655254044339
3169,Amnesty,1,POINT (-74.01854867112452 40.63725048105915),-74.01854867112452,40.63725048105915
3170,Amnesty,1,POINT (-73.95500718284433 40.71436680445567),-73.95500718284433,40.71436680445567
3171,Amnesty,1,POINT (-73.96263654187335 40.682704591702475),-73.96263654187335,40.682704591702475
3172,Amnesty,1,POINT (-73.91313574393425 40.64540443846746),-73.91313574393425,40.64540443846746
3173,Amnesty,1,POINT (-73.9770409 40.653247100000016),-73.9770409,40.653247100000016
3174,Amnesty,1,POINT (-73.86110995291851 40.66636989145099),-73.86110995291851,40.66636989145099
3175,Amnesty,2,POINT (-73.9230603909582 40.708381205137584),-73.9230603909582,40.708381205137584
3176,Amnesty,2,POINT (-73.9595292857826 40.666346997515525),-73.9595292857826,40.666346997515525
3177,Amnesty,1,POINT (-73.91677540976139 40.627385078400046),-73.91677540976139,40.627385078400046
3178,Amnesty,1,POINT (-73.95482356976305 40.72248904966079),-73.95482356976305,40.72248904966079
3179,Amnesty,1,POINT (-73.90628441037173 40.631529684108834),-73.90628441037173,40.631529684108834
3180,Amnesty,1,POINT (-73.93501693803722 40.71373160492358),-73.93501693803722,40.71373160492358
3181,Amnesty,2,POINT (-73.96932446166194 40.647070450156555),-73.96932446166194,40.647070450156555
3182,Amnesty,2,POINT (-74.02682101103531 40.62086801707364),-74.02682101103531,40.62086801707364
3183,Amnesty,1,POINT (-73.89096919489627 40.67523981307381),-73.89096919489627,40.67523981307381
3184,Amnesty,2,POINT (-73.95588270238126 40.601080476613525),-73.95588270238126,40.601080476613525
3185,Amnesty,1,POINT (-73.91063654615473 40.677520692919295),-73.91063654615473,40.677520692919295
3186,Amnesty,2,POINT (-73.99532802733275 40.60745929894113),-73.99532802733275,40.60745929894113
