,PanoramaId,n_cameras_median,attached_street_median,attached_building_median,attached_unknown_median,type_dome_median,type_bullet_median,type_unknown_median,n_cameras_agreement,attached_street_agreement,attached_building_agreement,attached_unknown_agreement,type_dome_agreement,type_bullet_agreement,type_unknown_agreement,Lat,Long,geometry_pano,BoroName,URL,ImageDate,geometry
53,-LxVDBXGWUfF2TeXlFz97w,3,1,1,0,1,0,0,All disagree,All disagree,2 vs 1,Unanimous,All disagree,Unanimous,Unanimous,40.64734251058297,-73.99724593506899,POINT (-73.99724593506899 40.64734251058297),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=-LxVDBXGWUfF2TeXlFz97w,2019-06,POINT (-73.99724593506899 40.64734251058297)
54,-MHj0AjR97kq3Kq9wlj_5A,2,0,2,0,0,0,0,2 vs 1,Unanimous,2 vs 1,Unanimous,Unanimous,Unanimous,Unanimous,40.64515692268967,-73.97194467217965,POINT (-73.97194467217965 40.64515692268967),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=-MHj0AjR97kq3Kq9wlj_5A,2020-11,POINT (-73.97194467217965 40.64515692268967)
55,-NC3Rk4dewBx5zxIdV3RmA,0,0,0,0,0,0,0,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,40.64821842369846,-73.92899901981338,POINT (-73.92899901981338 40.64821842369846),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=-NC3Rk4dewBx5zxIdV3RmA,2020-11,POINT (-73.92899901981338 40.64821842369846)
56,-NJDLBVcyCcLuE80agHybg,0,0,0,0,0,0,0,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,40.61926199506468,-74.03563286177507,POINT (-74.03563286177507 40.61926199506468),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=-NJDLBVcyCcLuE80agHybg,2018-08,POINT (-74.03563286177507 40.61926199506468)
57,-OOQU5wy0EjC5Ur6l68W2g,0,0,0,0,0,0,0,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,40.6523233,-73.9274412,POINT (-73.9274412 40.6523233),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=-OOQU5wy0EjC5Ur6l68W2g,2019-06,POINT (-73.9274412 40.6523233)
58,-OSqWr3BoxAKz6RYdIq0Kg,3,0,2,0,0,0,0,All disagree,2 vs 1,All disagree,2 vs 1,2 vs 1,2 vs 1,Unanimous,40.60829341057336,-73.92061348491859,POINT (-73.92061348491859 40.60829341057336),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=-OSqWr3BoxAKz6RYdIq0Kg,2019-11,POINT (-73.92061348491859 40.60829341057336)
59,-PEesDbKmnBCIzMcJR00nQ,2,0,2,0,0,0,0,2 vs 1,Unanimous,2 vs 1,Unanimous,Unanimous,Unanimous,Unanimous,40.68293601377983,-73.88933383108703,POINT (-73.88933383108703 40.68293601377983),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=-PEesDbKmnBCIzMcJR00nQ,2019-11,POINT (-73.88933383108703 40.68293601377983)
60,-PZFam6yi0He4l40k48FFA,0,0,0,0,0,0,0,2 vs 1,2 vs 1,Unanimous,Unanimous,2 vs 1,Unanimous,Unanimous,40.57541282739401,-73.96902406389053,POINT (-73.96902406389053 40.57541282739401),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=-PZFam6yi0He4l40k48FFA,2019-10,POINT (-73.96902406389053 40.57541282739401)
61,-PrTPZBnlJFDwSK1prVNdg,0,0,0,0,0,0,0,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,40.68547106811851,-73.95062044294097,POINT (-73.95062044294097 40.68547106811851),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=-PrTPZBnlJFDwSK1prVNdg,2014-09,POINT (-73.95062044294097 40.68547106811851)
62,-Pzxvh5LydHW5Z9eFt2Mzw,0,0,0,0,0,0,0,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,Unanimous,40.69423765262243,-73.91032229246838,POINT (-73.91032229246838 40.69423765262243),Brooklyn,https://www.google.com/maps/@?api=1&map_action=pano&pano=-Pzxvh5LydHW5Z9eFt2Mzw,2019-11,POINT (-73.91032229246838 40.69423765262243)
